Date,Total Stakes,Total Paid,Profit
 Πέμπτη 21 Δεκέμβρη 2023,"2,457,686.00€","984,167.00€","1,473,519.00€"
 Τρίτη 19 Δεκέμβρη 2023,"1,619,066.00€","329,350.00€","1,289,716.00€"
 Κυριακή 17 Δεκέμβρη 2023,"1,398,239.00€","515,437.50€","882,801.50€"
 Πέμπτη 14 Δεκέμβρη 2023,"2,401,078.00€","248,829.00€","2,152,249.00€"
 Τρίτη 12 Δεκέμβρη 2023,"1,773,853.00€","468,387.00€","1,305,466.00€"
 Κυριακή 10 Δεκέμβρη 2023,"2,565,064.00€","606,759.00€","1,958,305.00€"
 Πέμπτη 7 Δεκέμβρη 2023,"2,565,064.00€","353,111.62€","2,211,952.38€"
 Τρίτη 5 Δεκέμβρη 2023,"2,204,132.00€","57,214.50€","2,146,917.50€"
 Κυριακή 3 Δεκέμβρη 2023,"1,942,555.00€","121,057.50€","1,821,497.50€"
 Πέμπτη 30 Νοεμβρίου 2023,"2,747,787.00€","166,153.50€","2,581,633.50€"
 Τρίτη 28 Νοεμβρίου 2023,"6,519,373.00€","250,260.18€","6,269,112.82€"
 Κυριακή 26 Νοεμβρίου 2023,"5,335,412.00€","618,464.73€","4,716,947.27€"
 Πέμπτη 23 Νοεμβρίου 2023,"6,024,426.00€","598,576.19€","5,425,849.81€"
 Τρίτη 21 Νοεμβρίου 2023,"4,301,018.00€","780,495.08€","3,520,522.92€"
 Κυριακή 19 Νοεμβρίου 2023,"3,914,425.00€","517,224.18€","3,397,200.82€"
 Πέμπτη 16 Νοεμβρίου 2023,"4,690,980.00€","103,988.00€","4,586,992.00€"
 Τρίτη 14 Νοεμβρίου 2023,"3,282,560.00€","351,536.00€","2,931,024.00€"
 Κυριακή 12 Νοεμβρίου 2023,"2,887,288.00€","385,592.62€","2,501,695.38€"
 Πέμπτη 9 Νοεμβρίου 2023,"3,804,169.00€","542,080.74€","3,262,088.26€"
 Τρίτη 7 Νοεμβρίου 2023,"2,621,341.00€","545,087.70€","2,076,253.30€"
 Κυριακή 5 Νοεμβρίου 2023,"2,314,265.00€","331,491.33€","1,982,773.67€"
 Πέμπτη 2 Νοεμβρίου 2023,"3,201,037.00€","122,321.00€","3,078,716.00€"
