Date,Total Stakes,Total Paid,Profit
Σάββατο 14/10/2023,"468,052.00€","196,527.00€","271,525.00€"
Τετάρτη 11/10/2023,"468,232.00€","158,601.00€","309,631.00€"
Σάββατο 07/10/2023,"389,906.00€","100,705.00€","289,201.00€"
Τετάρτη 04/10/2023,"469,654.00€","8,486.00€","461,168.00€"
Σάββατο 30/09/2023,"352,580.00€","8,222.00€","344,358.00€"
Τετάρτη 27/09/2023,"318,765.00€","7,207.00€","311,558.00€"
Σάββατο 23/09/2023,"316,086.00€","5,202.00€","310,884.00€"
Τετάρτη 20/09/2023,"312,050.00€","5,851.00€","306,199.00€"
Σάββατο 16/09/2023,"336,429.00€","5,820.00€","330,609.00€"
Τετάρτη 13/09/2023,"330,955.00€","6,946.00€","324,009.00€"
Σάββατο 09/09/2023,"341,030.00€","21,342.00€","319,688.00€"
Τετάρτη 06/09/2023,"315,273.00€","4,848.00€","310,425.00€"
Σάββατο 02/09/2023,"359,607.00€","7,344.00€","352,263.00€"
Τετάρτη 30/08/2023,"342,544.00€","18,372.00€","324,172.00€"
Σάββατο 26/08/2023,"332,400.00€","6,905.00€","325,495.00€"
Τετάρτη 23/08/2023,"314,311.00€","6,186.00€","308,125.00€"
Σάββατο 19/08/2023,"321,703.00€","6,425.00€","315,278.00€"
Τετάρτη 16/08/2023,"332,179.00€","1,207,006.00€","-874,827.00€"
Σάββατο 12/08/2023,"393,878.00€","9,180.00€","384,698.00€"
Τετάρτη 09/08/2023,"372,066.00€","6,247.00€","365,819.00€"
Σάββατο 05/08/2023,"382,670.00€","6,910.00€","375,760.00€"
Τετάρτη 02/08/2023,"372,422.00€","7,129.00€","365,293.00€"
Σάββατο 29/07/2023,"389,457.00€","21,414.00€","368,043.00€"
Τετάρτη 26/07/2023,"352,569.00€","7,828.00€","344,741.00€"
Σάββατο 22/07/2023,"350,755.00€","7,282.00€","343,473.00€"
Τετάρτη 19/07/2023,"343,793.00€","19,612.00€","324,181.00€"
Σάββατο 15/07/2023,"355,075.00€","6,016.00€","349,059.00€"
Τετάρτη 12/07/2023,"350,200.00€","6,583.00€","343,617.00€"
Σάββατο 08/07/2023,"361,355.00€","8,402.00€","352,953.00€"
Τετάρτη 05/07/2023,"346,332.00€","7,790.00€","338,542.00€"
Σάββατο 01/07/2023,"372,307.00€","19,556.00€","352,751.00€"
Τετάρτη 28/06/2023,"340,339.00€","6,848.00€","333,491.00€"
Σάββατο 24/06/2023,"343,669.00€","18,192.00€","325,477.00€"
Τετάρτη 21/06/2023,"334,016.00€","8,511.00€","325,505.00€"
Σάββατο 17/06/2023,"362,046.00€","8,544.00€","353,502.00€"
Τετάρτη 14/06/2023,"366,827.00€","7,220.00€","359,607.00€"
Σάββατο 10/06/2023,"381,879.00€","6,910.00€","374,969.00€"
Τετάρτη 07/06/2023,"361,440.00€","8,053.00€","353,387.00€"
Σάββατο 03/06/2023,"392,971.00€","6,398.00€","386,573.00€"
